pret,descriere,link
1299,"Laptop ultraportabil Jumper EzBook X3 cu procesor Intel Celeron N3450 Quad - Core pana la 2.20 GHz, 13.3"", Full HD, 8GB, 128GB SSD, Intel® HD Graphics 500, Windows 10 Home, Grey",https://www.emag.ro/laptop-ultraportabil-jumper-ezbook-x3-cu-procesor-intel-celeron-n3450-quad-core-pana-la-2-20-ghz-13-3-full-hd-8gb-128gb-ssd-intelr-hd-graphics-500-windows-10-home-grey-ezbook-x3-2/pd/DQDRSDMBM/
3999,"Laptop Gaming Acer Nitro 5 AN515-55 cu procesor Intel® Core™ i5-10300H, 15.6"", Full HD, 8GB, 512GB SSD, NVIDIA® GeForce RTX™ 3050 4 GB, No OS, Black",https://www.emag.ro/laptop-gaming-acer-nitro-5-an515-55-cu-procesor-intelr-coretm-i5-10300h-15-6-full-hd-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4-gb-no-os-black-nh-qb0ex-001/pd/DMDNZPMBM/
4499,"Laptop Gaming HP Pavilion 15-dk1011nq cu procesor Intel Core i7-10750H, 15.6"", Full HD, 8GB, 512GB SSD, nVidia GeForce GTX 1650 4GB, Free DOS, Shadow Black",https://www.emag.ro/laptop-gaming-hp-pavilion-15-dk1011nq-cu-procesor-intel-core-i7-10750h-15-6-full-hd-8gb-512gb-ssd-nvidia-geforce-gtx-1650-4gb-free-dos-shadow-black-1k6b0ea/pd/DLHY5HMBM/
1899,"Laptop ultraportabil ASUS Vivobook X415EA cu procesor Intel® Core™ i3-1115G4, 14"", Full HD, 8GB, 256GB, Intel® UHD Graphics, No OS, Slate Grey",https://www.emag.ro/laptop-ultraportabil-asus-vivobook-x415ea-cu-procesor-intelr-coretm-i3-1115g4-14-full-hd-8gb-256gb-intelr-uhd-graphics-no-os-slate-grey-x415ea-eb522/pd/D2CV7PMBM/
2299,"Laptop Acer Aspire 5 A515-56 cu procesor Inel Core i3-1115G4, 15.6"", Full HD, 8GB, 256GB SSD, Intel Iris Xe Graphics, No OS, Black",https://www.emag.ro/laptop-acer-aspire-5-a515-56-cu-procesor-inel-core-i3-1115g4-15-6-full-hd-8gb-256gb-ssd-intel-iris-xe-graphics-no-os-black-nx-a18ex-001/pd/D87NZPMBM/
3999,"Laptop Gaming IdeaPad 3 15ACH6 cu procesor AMD Ryzen 7 5800H, 15.6"", Full HD, 8GB, 512GB SSD, NVIDIA GeForce RTX 3050 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-ideapad-3-15ach6-cu-procesor-amd-ryzen-7-5800h-15-6-full-hd-8gb-512gb-ssd-nvidia-geforce-rtx-3050-4gb-no-os-shadow-black-82k2007erm/pd/DPLYXXMBM/
14999,"Laptop gaming Lenovo Legion 7 16IYHg6 cu procesor Intel Core i9-11980HK, 16"", WQXGA, 32GB, 1TB SSD, NVIDIA GeForce RTX 3080 16GB, No OS, Storm Grey",https://www.emag.ro/laptop-gaming-lenovo-legion-7-16iyhg6-cu-procesor-intel-core-i9-11980hk-16-wqxga-32gb-1tb-ssd-nvidia-geforce-rtx-3080-16gb-no-os-storm-grey-82k6000lrm/pd/D75QGPMBM/
1349,"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel Celeron 6305, 15.6"", Full HD,IPS, 4GB, 128GB SSD, Intel UHD Graphics, No OS, Arctic Grey",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intel-celeron-6305-15-6-full-hd-ips-4gb-128gb-ssd-intel-uhd-graphics-no-os-arctic-grey-82h801etrm/pd/D9NQQPMBM/
3099,"Laptop Lenovo IdeaPad 3 15ALC6 cu procesor AMD Ryzen 7 5700U, 15.6"", Full HD,IPS, 8GB, 512GB SSD, AMD Radeon Graphics, Windows 10 Home, Abyss Blue",https://www.emag.ro/laptop-lenovo-ideapad-3-15alc6-cu-procesor-amd-ryzen-7-5700u-15-6-full-hd-ips-8gb-512gb-ssd-amd-radeon-graphics-windows-10-home-abyss-blue-82ku0108rm/pd/DLNQQPMBM/
2799,"Laptop ultraportabil Laptop Lenovo V14 G2 ALC cu procesor AMD Ryzen 7 5700U, 14"", Full HD, 16GB, 512GB SSD, AMD Radeon Graphics, Free Dos, Black",https://www.emag.ro/laptop-ultraportabil-laptop-lenovo-v14-g2-alc-cu-procesor-amd-ryzen-7-5700u-14-full-hd-16gb-512gb-ssd-amd-radeon-graphics-free-dos-black-82kc004erm/pd/DGTQRHMBM/
1610,"Laptop ASUS X515MA cu procesor Intel® Celeron® N4020 pana la 2.80 GHz, 15.6"", HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, Free DOS, Slate Grey",https://www.emag.ro/laptop-asus-x515ma-cu-procesor-intelr-celeronr-n4020-pana-la-2-80-ghz-15-6-hd-4gb-256gb-ssd-intelr-uhd-graphics-600-free-dos-slate-grey-x515ma-br062/pd/D0VFDTMBM/
3999,"Laptop HP Pavilion Gaming 16-a0076nq cu procesor Intel® Core™ i5-10300H, 16.1"", Full HD, 144Hz, 16GB, 512GB SSD, Nvidia GeForce GTX 1650Ti 4GB, Free DOS, Shadow Black",https://www.emag.ro/laptop-hp-pavilion-gaming-16-a0076nq-cu-procesor-intelr-coretm-i5-10300h-16-1-full-hd-144hz-16gb-512gb-ssd-nvidia-geforce-gtx-1650ti-4gb-free-dos-shadow-black-402r8ea/pd/D8WD3PMBM/
2799,"Laptop HP 15-dw3035nq cu procesor Intel Core i3-1115G4, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics, Windows 10 Home, Chalkboard gray",https://www.emag.ro/laptop-hp-15-dw3035nq-cu-procesor-intel-core-i3-1115g4-15-6-full-hd-8gb-512gb-ssd-intel-uhd-graphics-windows-10-home-chalkboard-gray-4q6c1ea/pd/DLGZ3XMBM/
2799,"Laptop Lenovo ThinkBook 15 G2 ITL cu procesor Intel Core i5-1135G7 pana la 4.20 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel Iris Xe Graphics, Free DOS, Mineral Grey",https://www.emag.ro/laptop-lenovo-thinkbook-15-g2-itl-cu-procesor-intel-core-i5-1135g7-pana-la-4-20-ghz-15-6-full-hd-8gb-256gb-ssd-intel-iris-xe-graphics-free-dos-mineral-grey-20ve0055rm/pd/DV0N1TMBM/
