pret,descriere,link
1599,"Laptop 2 in 1 Chuwi Hi10 X cu procesor Intel® Celeron™ N4120 pana la 2.6 GHz, 10.1"", Full HD, 128GB SSD, 6GB RAM, Intel® Iris™ UHD Graphics 600, Windows 10 Home, Gray",https://www.emag.ro/laptop-2-in-1-chuwi-hi10-x-cu-procesor-intelr-celerontm-n4120-pana-la-2-6-ghz-10-1-full-hd-128gb-ssd-6gb-ram-intelr-iristm-uhd-graphics-600-windows-10-home-gray-x001b6lnvp/pd/D2HQQXMBM/
1599,"Laptop ASUS X509MA cu procesor Intel® Pentium® Silver N5030, 15.6"", HD, 4GB, 1TB HDD, Intel® UHD Graphics 605, Free DOS, Slate Grey",https://www.emag.ro/laptop-asus-x509ma-cu-procesor-intelr-pentiumr-silver-n5030-15-6-hd-4gb-1tb-hdd-intelr-uhd-graphics-605-free-dos-slate-grey-x509ma-br351/pd/DBY9B0MBM/
1599,"Laptop ultraportabil Acer Swift 1 SF114-33 cu procesor Intel® Celeron® N4120 pana la 2.60 GHz, 14”, Full HD, 4GB, 128GB SSD, Inel UHD Graphics, No OS, SIlver",https://www.emag.ro/laptop-ultraportabil-acer-swift-1-sf114-33-cu-procesor-intelr-celeronr-n4120-pana-la-2-60-ghz-14-full-hd-4gb-128gb-ssd-inel-uhd-graphics-no-os-silver-nx-hysex-001/pd/DR28S2MBM/
1599,"Laptop ASUS X509MA cu procesor Intel® Pentium® Silver N5030, 15.6"", HD, 4GB, 256GB SSD, Intel® UHD Graphics 605, Free DOS, Transparent silver",https://www.emag.ro/laptop-asus-x509ma-cu-procesor-intelr-pentiumr-silver-n5030-15-6-hd-4gb-256gb-ssd-intelr-uhd-graphics-605-free-dos-transparent-silver-x509ma-br542/pd/D394D0MBM/
1599,"Laptop ASUS X509UA-EJ356 cu procesor Intel® Core™ i3-8130U, 15.6"" Full HD, 8GB, SSD 256GB, Intel® UHD Graphics 620, No OS, Slate Grey",https://www.emag.ro/laptop-asus-cu-procesor-intelr-coretm-i3-8130u-15-6-full-hd-8gb-ssd-256gb-intelr-uhd-graphics-620-no-os-slate-grey-x509ua-ej356/pd/D8THWPMBM/
1610,"Laptop ASUS X515MA cu procesor Intel® Celeron® N4020 pana la 2.80 GHz, 15.6"", HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, Free DOS, Slate Grey",https://www.emag.ro/laptop-asus-x515ma-cu-procesor-intelr-celeronr-n4020-pana-la-2-80-ghz-15-6-hd-4gb-256gb-ssd-intelr-uhd-graphics-600-free-dos-slate-grey-x515ma-br062/pd/D0VFDTMBM/
1648,"Laptop Lenovo IdeaPad 1 14ADA05, 14"" HD, AMD 3020e, 4GB DDR4, 64 GB eMMC, AMD Radeon Graphics, Windows 10 Home, Gri Deschis",https://www.emag.ro/laptop-lenovo-ideapad-1-14ada05-14-hd-amd-3020e-4gb-ddr4-64-gb-emmc-amd-radeon-graphics-windows-10-home-gri-deschis-82gw000suk/pd/DR53B9MBM/
1649,"Laptop ultraportabil Lenovo V14 ADA cu procesor AMD Ryzen 3 3250U, 14"", Full HD, 4GB, 128GB SSD, AMD Radeon Graphics, Free DOS, Iron Grey",https://www.emag.ro/laptop-ultraportabil-lenovo-v14-ada-cu-procesor-amd-ryzen-3-3250u-14-full-hd-4gb-128gb-ssd-amd-radeon-graphics-free-dos-iron-grey-82c600e2rm/pd/DQJJ1XMBM/
1666,"Laptop Lenovo IdeaPad 1 14 inch HD, Intel Pentium Silver N5030 Quad Core, 4GB RAM, 128GB SSD, Windows 10 Home S, Ice Blue",https://www.emag.ro/laptop-lenovo-ideapad-1-14-inch-hd-intel-pentium-silver-n5030-quad-core-4gb-ram-128gb-ssd-windows-10-home-s-ice-blue-81vu000jus/pd/DNH2FDMBM/
1690,"Laptop ASUS 15.6'' X515MA, HD, Procesor Intel® Celeron® N4020 (4M Cache, up to 2.80 GHz), 4GB DDR4, 256GB SSD, GMA UHD 600, No OS, Slate Grey",https://www.emag.ro/laptop-asus-15-6-x515ma-hd-procesor-intelr-celeronr-n4020-4m-cache-up-to-2-80-ghz-4gb-ddr4-256gb-ssd-gma-uhd-600-no-os-slate-grey-x515ma-br414/pd/D36WPHMBM/
1699,"Laptop Lenovo ThinkPad L440 cu procesor Intel® Core™ i5 up to 3.1Ghz , Memorie 8GB DDR3, Ssd 240GB ,video Intel® HD Graphics",https://www.emag.ro/laptop-lenovo-thinkpad-l440-cu-procesor-intelr-coretm-i5-up-to-3-1ghz-memorie-8gb-ddr3-ssd-240gb-video-intelr-hd-graphics-lg-34102021/pd/DVGDZXMBM/
1699,"Laptop Acer Aspire 3 A315-34 procesor Intel® Celeron® N4100 (4M Cache, up to 2.40 GHz), Gemini Lake, 15.6"" FHD, 4GB, 128GB SSD, Intel® UHD Graphics 600, Linux, Negru",https://www.emag.ro/laptop-acer-aspire-3-a315-34-procesor-intelr-celeronr-n4100-4m-cache-up-to-2-40-ghz-gemini-lake-15-6-fhd-4gb-128gb-ssd-intelr-uhd-graphics-600-linux-negru-nx-he3ex-01y/pd/DX5QQYMBM/
